id,count
1191,136.39
1207,124.97
1213,47.4
1215,128.99
1223,185.98
1227,119.78
1236,47.11
1237,48.63
1238,19.58
1241,30.08
1248,18.84
1250,37.86
1251,175.15
1253,116.51
1255,99.46
1257,183.28
1261,117.54
1262,335.84
1265,133.22
1273,171.78
1277,260.06
1278,123.26
1280,109.33
1284,220.11
1285,330.15
1288,32.46
1295,117.39
1297,356.86
1299,256.1
1304,150.67
1308,40.91
1310,95.87
1311,123.22
1314,89.51
1315,108.04
1318,32.31
1320,321.65
1321,294.01
1322,241.18
1330,121.63
1333,164.96
1334,225.02
1341,139.91
1344,145.79
1351,237.96
1354,98.19
1356,45.6
1363,121.54
1365,200.34
1369,134.83
1373,115.01
1375,113.14
1377,90.43
1379,133.73
1380,265.83
1381,99.43
1384,192.19
1390,179.9
1393,241.71
1395,45.13
1399,318.84
1400,107.18
1401,169.83
1404,175.38
1408,15.68
1409,27.89
1413,221.43
1416,285.95
1418,102.23
1423,95.97
1424,27.24
1425,16.12
1433,247.49
1434,154.61
1436,317.77
1442,243.05
1444,88.71
1445,106.5
1452,212.85
1455,162.26
1462,63.29
1467,80.88
1472,44.37
1475,195.0
1493,125.66
1501,227.01
1503,297.44
1504,226.14
1505,15.24
1511,237.55
1512,48.98
1513,91.78
1514,35.53
1528,235.9
1533,237.58
1534,30.57
1536,162.78
1537,86.84
1539,206.05
1550,221.22
1552,214.27
1554,198.32
1555,350.45
1556,93.81
1559,33.43
1563,243.63
1566,148.41
1567,134.24
1568,30.14
1571,233.62
1572,18.65
1574,45.52
1577,16.92
1583,84.94
1585,33.54
1586,186.38
1587,193.79
1596,155.89
1602,35.87
1604,77.69
1605,30.74
1610,308.01
1611,97.98
1616,32.15
1617,97.53
1618,15.57
1622,46.56
1623,32.68
1628,316.02
1631,16.42
1632,192.99
1633,239.28
1634,312.89
1636,216.05
1637,103.59
1643,144.06
1644,104.34
1646,98.82
1648,208.32
1651,34.67
1656,21.83
1658,145.65
1659,18.63
1665,162.6
1666,139.78
1670,40.71
1674,153.26
1679,203.37
1680,226.16
1683,325.54
1686,27.32
1691,97.28
1693,35.98
1696,38.58
1697,100.79
1703,99.87
1706,28.13
1709,165.2
1710,90.1
1712,211.77
1713,118.89
1718,339.72
1719,178.76
1722,281.85
1723,133.63
1724,281.14
1728,64.96
1730,30.86
1732,27.26
1737,38.0
1745,88.03
1747,14.34
1748,15.41
1755,105.42
1759,15.84
1761,270.26
1764,222.32
1765,152.05
1766,87.67
1768,101.23
1770,31.18
1771,146.43
1774,100.77
1785,134.27
1788,187.24
1792,15.18
1794,217.39
1797,117.73
1798,14.74
1799,257.34
1802,105.56
1806,42.03
1808,90.08
1810,235.36
1818,114.5
1819,364.01
1820,284.45
1822,222.36
1826,226.9
1827,195.95
1835,19.68
1841,114.59
1842,156.95
1843,18.56
1846,46.04
1849,96.59
1850,205.12
1851,188.51
1857,50.11
1858,181.04
1860,100.08
1861,242.47
1864,120.39
1869,320.65
1871,64.0
1872,27.35
1875,17.85
1878,216.53
1879,240.1
1885,89.73
1888,113.07
1889,29.77
1890,98.85
1896,148.52
1897,188.43
1898,125.08
1900,101.33
1905,38.19
1908,123.12
1909,104.06
1913,68.51
1918,111.74
1922,324.52
1923,131.64
1925,262.77
1926,146.67
1927,297.24
1930,196.94
1935,55.72
1939,120.47
1942,99.03
1943,82.42
1948,250.57
1949,256.21
1951,108.54
1953,120.23
1959,131.74
1963,18.67
1967,131.29
1973,255.2
1975,27.49
1976,88.66
1990,116.25
1993,120.6
1997,176.42
1999,130.0
2001,283.56
2004,87.92
2010,106.18
2013,142.75
2017,298.59
2021,110.08
2023,159.0
2026,153.15
2037,28.83
2039,172.63
2041,16.14
2046,28.94
2050,16.08
2060,216.3
2067,109.88
2069,178.01
2072,253.78
2074,144.24
2079,120.74
2083,25.75
2085,164.38
2087,15.58
2093,153.77
2094,32.48
2097,34.04
2103,99.23
2104,50.34
2107,199.2
2108,18.21
2110,96.9
2115,185.16
2117,29.35
2125,315.19
2127,261.2
2133,17.3
2134,355.05
2135,117.1
2141,245.16
2143,39.03
2145,87.37
2146,30.54
2147,271.89
2148,53.13
2149,67.8
2165,127.4
2166,171.98
2177,181.03
